True,Country,Variable,Year,Unit,Value
166,Chile,Public water supply,2006,Cubic metres,972.489990234
167,Chile,Public water supply,2007,Cubic metres,971.2199707030001
168,Chile,Public water supply,2008,Cubic metres,979.950500488
169,Chile,Public water supply,2009,Cubic metres,987.9299926760001
170,Chile,Public water supply,2010,Cubic metres,1009.655883789
171,Chile,Public water supply,2011,Cubic metres,1064.390014648
172,Estonia,Total gross abstraction non-freshwater,2005,Cubic metres,6.0
173,Estonia,Total gross abstraction non-freshwater,2006,Cubic metres,5.0
174,Estonia,Total gross abstraction non-freshwater,2007,Cubic metres,4.0
175,Estonia,Total gross abstraction non-freshwater,2008,Cubic metres,5.0
176,Estonia,Total gross abstraction non-freshwater,2009,Cubic metres,4.0
177,Estonia,Total gross abstraction non-freshwater,2011,Cubic metres,4.0
178,Estonia,Public water supply,2007,Cubic metres,44.0
179,Estonia,Public water supply,2008,Cubic metres,40.0
180,Estonia,Public water supply,2009,Cubic metres,47.0
181,Estonia,Public water supply,2011,Cubic metres,48.0
182,Israel,Public water supply,2005,Cubic metres,1961.0
183,Israel,Public water supply,2006,Cubic metres,2152.776663303
184,Israel,Public water supply,2007,Cubic metres,2279.630002441
185,Israel,Public water supply,2008,Cubic metres,2204.629998264
186,Israel,Public water supply,2009,Cubic metres,1811.0
187,Israel,Public water supply,2010,Cubic metres,1919.0
188,Israel,Public water supply,2011,Cubic metres,1831.0
189,Israel,Public water supply,2012,Cubic metres,1902.0
190,Slovenia,Public water supply,2005,Cubic metres,119.0
191,Slovenia,Public water supply,2006,Cubic metres,121.0
192,Slovenia,Public water supply,2007,Cubic metres,114.0
193,Slovenia,Public water supply,2008,Cubic metres,113.0
194,Slovenia,Public water supply,2009,Cubic metres,117.0
195,Slovenia,Public water supply,2010,Cubic metres,115.0
196,Slovenia,Public water supply,2011,Cubic metres,116.0
197,Slovenia,Public water supply,2012,Cubic metres,116.0
198,Slovenia,Public water supply,2013,Cubic metres,108.0
199,France,Total water made available for use,2008,Cubic metres,34138.0
200,France,Total water made available for use,2009,Cubic metres,33537.0
201,France,Total water made available for use,2010,Cubic metres,33110.0
202,France,Total water made available for use,2011,Cubic metres,33036.0
203,France,Total water made available for use,2012,Cubic metres,34859.0
204,Iceland,Total gross abstraction non-freshwater,2012,Cubic metres,48.0
205,Switzerland,Total water made available for use,2012,Cubic metres,1983.0
206,United Kingdom,Total gross abstraction non-freshwater,2005,Cubic metres,8092.0
207,United Kingdom,Total gross abstraction non-freshwater,2006,Cubic metres,8974.0
208,United Kingdom,Total gross abstraction non-freshwater,2007,Cubic metres,8984.0
209,United Kingdom,Total gross abstraction non-freshwater,2008,Cubic metres,7408.0
210,United Kingdom,Total gross abstraction non-freshwater,2009,Cubic metres,7654.0
211,United Kingdom,Total gross abstraction non-freshwater,2010,Cubic metres,7473.0
212,United Kingdom,Total gross abstraction non-freshwater,2011,Cubic metres,7893.0
213,United Kingdom,Total gross abstraction non-freshwater,2012,Cubic metres,8504.0
