,COU,Country,Variable,Year,Value
281,DNK,Denmark,R&D subsidies,2006,5.0
282,DNK,Denmark,R&D subsidies,2007,5.0
283,DNK,Denmark,R&D subsidies,2008,5.0
284,DNK,Denmark,R&D subsidies,2009,6.0
285,DNK,Denmark,R&D subsidies,2010,6.0
286,DNK,Denmark,R&D subsidies,2011,6.0
287,DNK,Denmark,R&D subsidies,2012,6.0
288,FIN,Finland,Standards,1990,0.5
289,FIN,Finland,Standards,1991,2.0
290,FIN,Finland,Standards,1992,2.0
291,FIN,Finland,Standards,1993,2.25
292,FIN,Finland,Standards,1994,2.25
293,FIN,Finland,Standards,1995,2.25
294,FIN,Finland,Standards,1996,2.25
295,FIN,Finland,Standards,1997,2.25
296,FIN,Finland,Standards,1998,2.25
297,FIN,Finland,Standards,1999,2.25
298,FIN,Finland,Standards,2000,2.75
299,FIN,Finland,Standards,2001,2.75
300,FIN,Finland,Standards,2002,4.25
301,FIN,Finland,Standards,2003,4.25
302,FIN,Finland,Standards,2004,4.25
303,FIN,Finland,Standards,2005,4.5
304,FIN,Finland,Standards,2006,4.5
305,FIN,Finland,Standards,2007,4.5
306,FIN,Finland,Standards,2008,4.5
307,FIN,Finland,Standards,2009,4.75
308,FIN,Finland,Standards,2010,4.75
309,FIN,Finland,Standards,2011,4.75
310,FIN,Finland,Standards,2012,4.75
311,ITA,Italy,Emission limit values PM,1990,1.0
312,ITA,Italy,Emission limit values PM,1991,1.0
313,ITA,Italy,Emission limit values PM,1992,1.0
314,ITA,Italy,Emission limit values PM,1993,1.0
315,ITA,Italy,Emission limit values PM,1994,1.0
316,ITA,Italy,Emission limit values PM,1995,1.0
317,ITA,Italy,Emission limit values PM,1996,1.0
318,ITA,Italy,Emission limit values PM,1997,1.0
319,ITA,Italy,Emission limit values PM,1998,1.0
320,ITA,Italy,Emission limit values PM,1999,1.0
321,ITA,Italy,Emission limit values PM,2000,1.0
322,ITA,Italy,Emission limit values PM,2001,1.0
323,ITA,Italy,Emission limit values PM,2002,1.0
324,ITA,Italy,Emission limit values PM,2003,1.0
325,ITA,Italy,Emission limit values PM,2004,1.0
326,ITA,Italy,Emission limit values PM,2005,1.0
327,ITA,Italy,Emission limit values PM,2006,2.0
328,ITA,Italy,Emission limit values PM,2007,2.0
329,ITA,Italy,Emission limit values PM,2008,2.0
330,ITA,Italy,Emission limit values PM,2009,2.0
331,ITA,Italy,Emission limit values PM,2010,2.0
332,ITA,Italy,Emission limit values PM,2011,2.0
333,ITA,Italy,Emission limit values PM,2012,2.0
334,ITA,Italy,Emission limit values PM,2013,6.0
335,ITA,Italy,Emission limit values PM,2014,6.0
336,ITA,Italy,Emission limit values PM,2015,6.0
337,ESP,Spain,Feed-in Tariffs Solar,1990,0.0
338,ESP,Spain,Feed-in Tariffs Solar,1991,0.0
339,ESP,Spain,Feed-in Tariffs Solar,1992,0.0
340,ESP,Spain,Feed-in Tariffs Solar,1993,0.0
341,ESP,Spain,Feed-in Tariffs Solar,1994,2.0
342,ESP,Spain,Feed-in Tariffs Solar,1995,2.0
343,ESP,Spain,Feed-in Tariffs Solar,1996,2.0
344,ESP,Spain,Feed-in Tariffs Solar,1997,2.0
345,ESP,Spain,Feed-in Tariffs Solar,1998,3.0
346,ESP,Spain,Feed-in Tariffs Solar,1999,6.0
347,ESP,Spain,Feed-in Tariffs Solar,2000,6.0
348,ESP,Spain,Feed-in Tariffs Solar,2001,6.0
349,ESP,Spain,Feed-in Tariffs Solar,2002,6.0
350,ESP,Spain,Feed-in Tariffs Solar,2003,6.0
351,ESP,Spain,Feed-in Tariffs Solar,2004,6.0
352,ESP,Spain,Feed-in Tariffs Solar,2005,6.0
353,ESP,Spain,Feed-in Tariffs Solar,2006,6.0
354,ESP,Spain,Feed-in Tariffs Solar,2007,6.0
