Country,System,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Central African Republic,Terrestrial,,5.0,,,,1702.0,1717.0,1717.0,3325.0,1777.0,1739.0,1695.0,1714.0,1832.0,1731.0,1619.0,1732.0,1912.0,1956.0,1840.0,1908.0,,,
Chad,Terrestrial,600.0,,,,,,,,,,,,,,,,13.0,44.0,13.0,,,,,
Chile,Freshwater,,31310.0,21378.0,8353.0,12705.0,14228.0,13620.0,67099.0,44845.0,24578.1,66131.0,32454.8,56827.0,73327.0,62798.0,47417.0,16685.0,2468.0,7341.0,,5443.0,,,
Chile,Marine,,31310.0,21378.0,8353.0,12705.0,14228.0,13620.0,67099.0,44845.0,24578.1,66131.0,32454.8,56827.0,73327.0,62798.0,47417.0,16685.0,2468.0,7341.0,,5443.0,,,
Chile,Terrestrial,23709.0,31310.0,21378.0,8353.0,12705.0,14228.0,13620.0,67099.0,44845.0,24578.1,66131.0,32454.8,56827.0,73327.0,62798.0,47417.0,16685.0,2468.0,7341.0,,5443.0,,,
China,Freshwater,2765.0,5911.0,4641.0,4979.0,9751.0,4226.0,4185.0,5660.0,2521.0,138855.0,88623.0,5300.0,4028.0,4991.0,156080.0,124690.0,117919.0,7413.0,53270.0,823.0,38169.0,,,
China,Marine,,5911.0,4641.0,4979.0,9751.0,4226.0,4185.0,5660.0,2521.0,138855.0,88623.0,5300.0,4028.0,4991.0,156080.0,124690.0,117919.0,7413.0,53270.0,823.0,38169.0,,,
China,Terrestrial,265.0,5911.0,4641.0,4979.0,9751.0,4226.0,4185.0,5660.0,2521.0,138855.0,88623.0,5300.0,4028.0,4991.0,156080.0,124690.0,117919.0,7413.0,53270.0,823.0,38169.0,,,
Colombia,Freshwater,,,,,,,,,,82.0,100.0,147.0,276.0,,,,176.0,161.0,,,,143.0,119.0,
Colombia,Terrestrial,,,,,,,,,,82.0,100.0,147.0,276.0,,,,176.0,161.0,,,,143.0,119.0,
Comoros,Marine,,440.0,,,527.0,300.0,,,700.0,1066.0,,,,1200.0,,,,,,,,,,
Comoros,Terrestrial,,440.0,,,527.0,300.0,,,700.0,1066.0,,,,1200.0,,,,,,,,,,
"Congo, The Democratic Republic Of The",Terrestrial,298.0,30.0,27.0,22.0,21684.0,26203.0,19.0,,,,,30.0,,1547.0,15.0,4.0,,,,,,,,
Cook Islands,Terrestrial,38.99,47.66,57.05,64.28,88.09,111.18,141.47,158.79,176.83,195.6,222.29,255.47,282.88,293.71,282.2,276.45,254.12,,,,,,,
Costa Rica,Freshwater,,,1080.0,,,125.0,41.0,3818.0,100.0,1227.0,77.0,43.0,69.0,,,,,,,,,,,
Costa Rica,Terrestrial,1005.0,,1080.0,,,125.0,41.0,3818.0,100.0,1227.0,77.0,43.0,69.0,,,,,,,,,,,
