"COU","Country","VAR","Variable","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"FRA","France","FIT_SOLAR","Feed-in Tariffs Solar","2007","2007","IDX","Index","0","Units",,,6,,
"FRA","France","FIT_SOLAR","Feed-in Tariffs Solar","2008","2008","IDX","Index","0","Units",,,6,,
"FRA","France","FIT_SOLAR","Feed-in Tariffs Solar","2009","2009","IDX","Index","0","Units",,,6,,
"FRA","France","FIT_SOLAR","Feed-in Tariffs Solar","2010","2010","IDX","Index","0","Units",,,6,,
"FRA","France","FIT_SOLAR","Feed-in Tariffs Solar","2011","2011","IDX","Index","0","Units",,,4,,
"FRA","France","FIT_SOLAR","Feed-in Tariffs Solar","2012","2012","IDX","Index","0","Units",,,4,,
"FRA","France","FIT_SOLAR","Feed-in Tariffs Solar","2013","2013","IDX","Index","0","Units",,,4,,
"FRA","France","FIT_SOLAR","Feed-in Tariffs Solar","2014","2014","IDX","Index","0","Units",,,4,,
"FRA","France","FIT_SOLAR","Feed-in Tariffs Solar","2015","2015","IDX","Index","0","Units",,,4,,
"BEL","Belgium","EPS","Environmental Policy Stringency","1990","1990","IDX","Index","0","Units",,,0.66666668653488,,
"BEL","Belgium","EPS","Environmental Policy Stringency","1991","1991","IDX","Index","0","Units",,,0.66666668653488,,
"BEL","Belgium","EPS","Environmental Policy Stringency","1992","1992","IDX","Index","0","Units",,,0.70833331346512,,
"BEL","Belgium","EPS","Environmental Policy Stringency","1993","1993","IDX","Index","0","Units",,,0.77083331346512,,
"BEL","Belgium","EPS","Environmental Policy Stringency","1994","1994","IDX","Index","0","Units",,,0.77083331346512,,
"BEL","Belgium","EPS","Environmental Policy Stringency","1995","1995","IDX","Index","0","Units",,,0.77083331346512,,
"BEL","Belgium","EPS","Environmental Policy Stringency","1996","1996","IDX","Index","0","Units",,,0.77083331346512,,
"BEL","Belgium","EPS","Environmental Policy Stringency","1997","1997","IDX","Index","0","Units",,,0.77083331346512,,
"BEL","Belgium","EPS","Environmental Policy Stringency","1998","1998","IDX","Index","0","Units",,,0.77083331346512,,
"BEL","Belgium","EPS","Environmental Policy Stringency","1999","1999","IDX","Index","0","Units",,,0.77083331346512,,
"BEL","Belgium","EPS","Environmental Policy Stringency","2000","2000","IDX","Index","0","Units",,,0.85416668653488,,
"BEL","Belgium","EPS","Environmental Policy Stringency","2001","2001","IDX","Index","0","Units",,,1.1041666269302,,
"BEL","Belgium","EPS","Environmental Policy Stringency","2002","2002","IDX","Index","0","Units",,,1.2124999761581,,
"BEL","Belgium","EPS","Environmental Policy Stringency","2003","2003","IDX","Index","0","Units",,,1.1708333492279,,
"BEL","Belgium","EPS","Environmental Policy Stringency","2004","2004","IDX","Index","0","Units",,,1.9833333492279,,
"BEL","Belgium","EPS","Environmental Policy Stringency","2005","2005","IDX","Index","0","Units",,,2.4458332061768,,
"BEL","Belgium","EPS","Environmental Policy Stringency","2006","2006","IDX","Index","0","Units",,,2.4041666984558,,
"BEL","Belgium","EPS","Environmental Policy Stringency","2007","2007","IDX","Index","0","Units",,,2.2041666507721,,
"BEL","Belgium","EPS","Environmental Policy Stringency","2008","2008","IDX","Index","0","Units",,,2.3375000953674,,
"BEL","Belgium","EPS","Environmental Policy Stringency","2009","2009","IDX","Index","0","Units",,,2.5750000476837,,
"BEL","Belgium","EPS","Environmental Policy Stringency","2010","2010","IDX","Index","0","Units",,,2.5999999046326,,
"BEL","Belgium","EPS","Environmental Policy Stringency","2011","2011","IDX","Index","0","Units",,,2.5333333015442,,
"BEL","Belgium","EPS","Environmental Policy Stringency","2012","2012","IDX","Index","0","Units",,,2.4666666984558,,
"ITA","Italy","TRADESCH_EEF","Trading Schemes White Certificates","1990","1990","IDX","Index","0","Units",,,0,,
"ITA","Italy","TRADESCH_EEF","Trading Schemes White Certificates","1991","1991","IDX","Index","0","Units",,,0,,
"ITA","Italy","TRADESCH_EEF","Trading Schemes White Certificates","1992","1992","IDX","Index","0","Units",,,0,,
"ITA","Italy","TRADESCH_EEF","Trading Schemes White Certificates","1993","1993","IDX","Index","0","Units",,,0,,
"ITA","Italy","TRADESCH_EEF","Trading Schemes White Certificates","1994","1994","IDX","Index","0","Units",,,0,,
