True,Country,Source,Variable,Year,Unit,Value
168,Turkey,Total freshwater,Total gross abstraction,2014,Cubic metres,51970.94922
169,Spain,Total freshwater,Total gross abstraction,2014,Cubic metres,32855.0
170,Denmark,Total freshwater,Total gross abstraction,2014,Cubic metres,746.06
171,Estonia,Total freshwater,Total gross abstraction,2014,Cubic metres,1724.05847
172,Latvia,Total freshwater,Total gross abstraction,2014,Cubic metres,168.31799999999996
173,Costa Rica,Total freshwater,Total gross abstraction,2014,Cubic metres,1656.21533
174,Iceland,Total freshwater,Total gross abstraction,2014,Cubic metres,1440.79996
175,Slovak Republic,Total freshwater,Total gross abstraction,2014,Cubic metres,559.08
176,Czech Republic,Total freshwater,Total gross abstraction,2014,Cubic metres,1650.0
177,Greece,Total freshwater,Total gross abstraction,2014,Cubic metres,9916.2998
178,Netherlands,Total freshwater,Total gross abstraction,2014,Cubic metres,9481.0
179,New Zealand,Total freshwater,Total gross abstraction,2014,Cubic metres,9874.35
180,Israel,Total freshwater,Total gross abstraction,2014,Cubic metres,1271.0
181,Russia,Total freshwater,Total gross abstraction,2014,Cubic metres,64807.0
182,Slovenia,Total freshwater,Total gross abstraction,2014,Cubic metres,977.37
183,Mexico,Total freshwater,Total gross abstraction,2014,Cubic metres,84928.80412999999
184,Korea,Total freshwater,Total gross abstraction,2014,Cubic metres,25100.0
185,Costa Rica,Total freshwater,Total gross abstraction,2015,Cubic metres,1990.31836
186,Russia,Total freshwater,Total gross abstraction,2015,Cubic metres,62163.0
187,Poland,Total freshwater,Total gross abstraction,2015,Cubic metres,11093.5
188,Latvia,Total freshwater,Total gross abstraction,2015,Cubic metres,176.62
189,Australia,Total freshwater,Total gross abstraction,2015,Cubic metres,18222.0
190,Slovenia,Total freshwater,Total gross abstraction,2015,Cubic metres,895.0999800000002
191,Israel,Total freshwater,Total gross abstraction,2015,Cubic metres,1145.0
192,Czech Republic,Total freshwater,Total gross abstraction,2015,Cubic metres,1603.0999800000004
193,Estonia,Total freshwater,Total gross abstraction,2015,Cubic metres,1615.34265
194,Denmark,Total freshwater,Total gross abstraction,2015,Cubic metres,656.18
195,Slovak Republic,Total freshwater,Total gross abstraction,2015,Cubic metres,573.78998
196,Greece,Total freshwater,Total gross abstraction,2015,Cubic metres,9907.74023
197,Lithuania,Total freshwater,Total gross abstraction,2015,Cubic metres,410.50037
198,Luxembourg,Total freshwater,Total gross abstraction,2015,Cubic metres,44.85
199,Mexico,Total freshwater,Total gross abstraction,2015,Cubic metres,85664.2472
