True,Country,True,Source,Variable,Year,Unit,Value
118,Spain,729,Total freshwater,Total gross abstraction,2010,Cubic metres,35224.0
119,Spain,730,Total freshwater,Total gross abstraction,2011,Cubic metres,34993.0
120,Spain,731,Total freshwater,Total gross abstraction,2012,Cubic metres,34239.0
121,Spain,732,Total freshwater,Total gross abstraction,2013,Cubic metres,32279.0
122,Spain,733,Total freshwater,Total gross abstraction,2014,Cubic metres,32855.0
123,Sweden,776,Total freshwater,Total gross abstraction,2010,Cubic metres,2690.0
124,Switzerland,782,Total freshwater,Total gross abstraction,2012,Cubic metres,2004.8
125,Turkey,793,Total freshwater,Total gross abstraction,2008,Cubic metres,42008.0
126,Turkey,794,Total freshwater,Total gross abstraction,2009,Cubic metres,45130.0
127,Turkey,795,Total freshwater,Total gross abstraction,2010,Cubic metres,46956.0
128,Turkey,796,Total freshwater,Total gross abstraction,2012,Cubic metres,50510.0
129,Turkey,797,Total freshwater,Total gross abstraction,2014,Cubic metres,51970.94922
130,United States,830,Total freshwater,Total gross abstraction,2010,Cubic metres,489527.5592
131,Estonia,846,Total freshwater,Total gross abstraction,2008,Cubic metres,1605.31006
132,Estonia,847,Total freshwater,Total gross abstraction,2009,Cubic metres,1388.01697
133,Estonia,848,Total freshwater,Total gross abstraction,2010,Cubic metres,1842.0
134,Estonia,849,Total freshwater,Total gross abstraction,2011,Cubic metres,1873.87805
135,Estonia,850,Total freshwater,Total gross abstraction,2012,Cubic metres,1630.9710699999996
136,Estonia,851,Total freshwater,Total gross abstraction,2013,Cubic metres,1747.811
137,Estonia,852,Total freshwater,Total gross abstraction,2014,Cubic metres,1724.05847
138,Estonia,853,Total freshwater,Total gross abstraction,2015,Cubic metres,1615.34265
139,Estonia,854,Total freshwater,Total gross abstraction,2016,Cubic metres,1756.2406
140,Israel,887,Total freshwater,Total gross abstraction,2008,Cubic metres,1595.0
141,Israel,888,Total freshwater,Total gross abstraction,2009,Cubic metres,1313.0
142,Israel,889,Total freshwater,Total gross abstraction,2010,Cubic metres,1340.0
143,Israel,890,Total freshwater,Total gross abstraction,2011,Cubic metres,1266.0
144,Israel,891,Total freshwater,Total gross abstraction,2012,Cubic metres,1318.0
145,Israel,892,Total freshwater,Total gross abstraction,2013,Cubic metres,1296.0
146,Israel,893,Total freshwater,Total gross abstraction,2014,Cubic metres,1271.0
147,Israel,894,Total freshwater,Total gross abstraction,2015,Cubic metres,1145.0
148,Slovenia,907,Total freshwater,Total gross abstraction,2008,Cubic metres,1040.0
149,Slovenia,908,Total freshwater,Total gross abstraction,2009,Cubic metres,943.0
150,Slovenia,909,Total freshwater,Total gross abstraction,2010,Cubic metres,925.0
151,Slovenia,910,Total freshwater,Total gross abstraction,2011,Cubic metres,851.0
152,Slovenia,911,Total freshwater,Total gross abstraction,2012,Cubic metres,781.09998
153,Slovenia,912,Total freshwater,Total gross abstraction,2013,Cubic metres,892.5
154,Slovenia,913,Total freshwater,Total gross abstraction,2014,Cubic metres,977.37
155,Slovenia,914,Total freshwater,Total gross abstraction,2015,Cubic metres,895.0999800000002
156,Slovenia,915,Total freshwater,Total gross abstraction,2016,Cubic metres,884.37
157,England and Wales,961,Total freshwater,Total gross abstraction,2008,Cubic metres,8347.0
158,England and Wales,962,Total freshwater,Total gross abstraction,2009,Cubic metres,8281.0
159,England and Wales,963,Total freshwater,Total gross abstraction,2010,Cubic metres,8263.0
160,England and Wales,964,Total freshwater,Total gross abstraction,2011,Cubic metres,7685.0
161,England and Wales,965,Total freshwater,Total gross abstraction,2012,Cubic metres,8214.0
162,England and Wales,966,Total freshwater,Total gross abstraction,2013,Cubic metres,7865.5
163,Latvia,1356,Total freshwater,Total gross abstraction,2008,Cubic metres,227.73309
164,Latvia,1357,Total freshwater,Total gross abstraction,2009,Cubic metres,394.814
165,Latvia,1358,Total freshwater,Total gross abstraction,2010,Cubic metres,275.16200000000003
166,Latvia,1359,Total freshwater,Total gross abstraction,2011,Cubic metres,369.276
167,Latvia,1360,Total freshwater,Total gross abstraction,2012,Cubic metres,260.111
168,Latvia,1361,Total freshwater,Total gross abstraction,2013,Cubic metres,205.807
169,Latvia,1362,Total freshwater,Total gross abstraction,2014,Cubic metres,168.31799999999996
170,Latvia,1363,Total freshwater,Total gross abstraction,2015,Cubic metres,176.62
171,Latvia,1364,Total freshwater,Total gross abstraction,2016,Cubic metres,224.394
172,Colombia,1453,Total freshwater,Total gross abstraction,2008,Cubic metres,35877.0
173,Colombia,1454,Total freshwater,Total gross abstraction,2012,Cubic metres,35987.0
174,Brazil,1455,Total freshwater,Total gross abstraction,2008,Cubic metres,66470.0
175,Brazil,1456,Total freshwater,Total gross abstraction,2009,Cubic metres,70665.0
176,Brazil,1457,Total freshwater,Total gross abstraction,2010,Cubic metres,74900.0
177,Brazil,1458,Total freshwater,Total gross abstraction,2011,Cubic metres,79100.0
178,Brazil,1459,Total freshwater,Total gross abstraction,2012,Cubic metres,83300.0
179,China,1499,Total freshwater,Total gross abstraction,2008,Cubic metres,588120.0
180,China,1500,Total freshwater,Total gross abstraction,2009,Cubic metres,593399.0
181,China,1501,Total freshwater,Total gross abstraction,2010,Cubic metres,596890.0
182,China,1502,Total freshwater,Total gross abstraction,2011,Cubic metres,605340.0
183,China,1503,Total freshwater,Total gross abstraction,2012,Cubic metres,608660.0
184,Russia,1509,Total freshwater,Total gross abstraction,2008,Cubic metres,74354.0
185,Russia,1510,Total freshwater,Total gross abstraction,2009,Cubic metres,69915.0
186,Russia,1511,Total freshwater,Total gross abstraction,2010,Cubic metres,72685.0
187,Russia,1512,Total freshwater,Total gross abstraction,2011,Cubic metres,68652.0
188,Russia,1513,Total freshwater,Total gross abstraction,2012,Cubic metres,66296.0
189,Russia,1514,Total freshwater,Total gross abstraction,2013,Cubic metres,65104.0
190,Russia,1515,Total freshwater,Total gross abstraction,2014,Cubic metres,64807.0
191,Russia,1516,Total freshwater,Total gross abstraction,2015,Cubic metres,62163.0
192,Russia,1517,Total freshwater,Total gross abstraction,2016,Cubic metres,63000.0
193,Costa Rica,1596,Total freshwater,Total gross abstraction,2008,Cubic metres,384.46554
194,Costa Rica,1597,Total freshwater,Total gross abstraction,2009,Cubic metres,486.4184
195,Costa Rica,1598,Total freshwater,Total gross abstraction,2010,Cubic metres,853.3281599999998
196,Costa Rica,1599,Total freshwater,Total gross abstraction,2011,Cubic metres,1066.20251
197,Costa Rica,1600,Total freshwater,Total gross abstraction,2012,Cubic metres,1246.09814
198,Costa Rica,1601,Total freshwater,Total gross abstraction,2013,Cubic metres,1347.40405
199,Costa Rica,1602,Total freshwater,Total gross abstraction,2014,Cubic metres,1656.21533
200,Costa Rica,1603,Total freshwater,Total gross abstraction,2015,Cubic metres,1990.31836
201,Costa Rica,1604,Total freshwater,Total gross abstraction,2016,Cubic metres,2089.36987
202,Lithuania,1668,Total freshwater,Total gross abstraction,2008,Cubic metres,2274.89233
203,Lithuania,1669,Total freshwater,Total gross abstraction,2009,Cubic metres,2411.86719
204,Lithuania,1670,Total freshwater,Total gross abstraction,2010,Cubic metres,741.2559200000002
205,Lithuania,1671,Total freshwater,Total gross abstraction,2011,Cubic metres,612.07831
206,Lithuania,1672,Total freshwater,Total gross abstraction,2012,Cubic metres,668.72339
207,Lithuania,1673,Total freshwater,Total gross abstraction,2013,Cubic metres,443.10202
208,Lithuania,1674,Total freshwater,Total gross abstraction,2014,Cubic metres,388.61621
209,Lithuania,1675,Total freshwater,Total gross abstraction,2015,Cubic metres,410.50037
210,Lithuania,1676,Total freshwater,Total gross abstraction,2016,Cubic metres,340.12309
