True,Country,Source,Variable,Year,Unit,Value
896,Lithuania,Fresh surface water,Manufacturing industry,2010,Cubic metres,20.21
897,Lithuania,Fresh surface water,Manufacturing industry,2011,Cubic metres,24.48
898,Lithuania,Fresh surface water,Manufacturing industry,2012,Cubic metres,27.824
899,Lithuania,Fresh surface water,Manufacturing industry,2013,Cubic metres,26.43925
900,Lithuania,Fresh surface water,Manufacturing industry,2014,Cubic metres,25.786479999999997
901,Lithuania,Fresh surface water,Manufacturing industry,2015,Cubic metres,25.55189
902,Lithuania,Fresh surface water,Manufacturing industry,2016,Cubic metres,24.91228
903,Hungary,Fresh surface water,Aquaculture,2010,Cubic metres,54.16
904,Hungary,Fresh surface water,Aquaculture,2011,Cubic metres,67.5
905,Hungary,Fresh surface water,Aquaculture,2012,Cubic metres,85.2
906,Hungary,Fresh surface water,Aquaculture,2013,Cubic metres,78.15
907,Hungary,Fresh surface water,Aquaculture,2015,Cubic metres,55.24
908,Turkey,Fresh surface water,Aquaculture,2014,Cubic metres,7819.97
909,Turkey,Fresh surface water,Aquaculture,2015,Cubic metres,7687.43
910,England and Wales,Fresh surface water,Aquaculture,2008,Cubic metres,910.0
911,England and Wales,Fresh surface water,Aquaculture,2009,Cubic metres,810.0
912,England and Wales,Fresh surface water,Aquaculture,2010,Cubic metres,923.0
913,England and Wales,Fresh surface water,Aquaculture,2011,Cubic metres,717.0
914,England and Wales,Fresh surface water,Aquaculture,2012,Cubic metres,861.0
915,Russia,Fresh surface water,Manufacturing industry,2008,Cubic metres,5201.0
916,Russia,Fresh surface water,Manufacturing industry,2009,Cubic metres,4591.0
917,Russia,Fresh surface water,Manufacturing industry,2010,Cubic metres,4897.0
918,Russia,Fresh surface water,Manufacturing industry,2011,Cubic metres,4510.0
919,Russia,Fresh surface water,Manufacturing industry,2012,Cubic metres,4354.0
920,Russia,Fresh surface water,Manufacturing industry,2013,Cubic metres,3900.0
921,Russia,Fresh surface water,Manufacturing industry,2014,Cubic metres,3734.0
922,Russia,Fresh surface water,Manufacturing industry,2015,Cubic metres,3546.0
923,Russia,Fresh surface water,Manufacturing industry,2016,Cubic metres,3612.0
924,Russia,Fresh surface water,"Agriculture, forestry, fishing",2008,Cubic metres,20208.0
925,Russia,Fresh surface water,"Agriculture, forestry, fishing",2009,Cubic metres,19650.0
926,Russia,Fresh surface water,"Agriculture, forestry, fishing",2010,Cubic metres,19055.0
927,Russia,Fresh surface water,"Agriculture, forestry, fishing",2011,Cubic metres,18591.0
928,Russia,Fresh surface water,"Agriculture, forestry, fishing",2012,Cubic metres,18092.0
929,Russia,Fresh surface water,"Agriculture, forestry, fishing",2013,Cubic metres,18109.0
930,Russia,Fresh surface water,"Agriculture, forestry, fishing",2014,Cubic metres,18277.0
931,Russia,Fresh surface water,"Agriculture, forestry, fishing",2015,Cubic metres,17133.0
932,Russia,Fresh surface water,"Agriculture, forestry, fishing",2016,Cubic metres,17817.0
